customer_id,age,tenure_months,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,total_revenue,payment_failures,support_tickets,avg_resolution_time,csat_score,escalations,email_open_rate,marketing_click_rate,nps_score,referral_count,churn,tenure_segment,gender_Male,country_Bangladesh,country_Canada,country_Germany,country_India,country_UK,country_USA,city_Delhi,city_Dhaka,city_London,city_New York,city_Sydney,city_Toronto,customer_segment_Individual,customer_segment_SME,signup_channel_Referral,signup_channel_Web,contract_type_Quarterly,contract_type_Yearly,payment_method_Card,payment_method_PayPal,discount_applied_Yes,price_increase_last_3m_Yes,complaint_type_Service,complaint_type_Technical,survey_response_Satisfied,survey_response_Unsatisfied
CUST_00001,68,22,26,7,11.76237198882082,5,0.06,7,30,660,1,4,13.354359704932143,4.0,0,0.71,0.4,27,1,0,12-24 months,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False
CUST_00002,57,9,7,5,26.84638960973137,1,-0.28,2,30,270,1,1,25.14008841258968,2.0,0,0.78,0.33,-19,2,1,6-12 months,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
CUST_00003,24,58,19,5,23.38006497233134,6,0.13,23,20,1160,2,1,27.57292845215133,3.0,0,0.35,0.49,80,1,0,24+ months,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False
CUST_00004,49,19,34,7,24.243136266362708,2,-0.17,24,30,570,0,3,26.420822304921717,5.0,1,0.83,0.15,100,0,0,12-24 months,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
CUST_00005,65,52,20,6,18.87232291164992,2,-0.16,2,50,2600,0,0,26.674579176744228,4.0,0,0.65,0.44,21,1,0,24+ months,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
CUST_00006,36,54,1,3,20.93823726581249,2,-0.15,20,50,2700,0,0,36.03839117141806,4.0,1,0.83,0.05,-40,1,0,24+ months,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
CUST_00007,23,54,21,4,17.544416359634237,6,0.23,13,20,1080,0,1,36.89292842033735,4.0,0,0.75,0.46,-3,1,0,24+ months,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
CUST_00008,37,7,17,7,26.18874573958236,8,0.22,7,20,140,0,2,25.02413250808525,4.0,1,0.54,0.13,28,1,0,6-12 months,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,True,True,False
CUST_00009,44,15,29,4,1.0,6,-0.1,13,30,450,0,1,32.46553558480596,2.0,0,0.85,0.13,-24,0,0,12-24 months,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False
CUST_00010,70,17,18,5,7.338150078144248,3,0.27,0,30,510,0,1,42.98619185872065,4.0,0,0.72,0.13,17,1,0,12-24 months,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
CUST_00011,60,46,31,6,4.6509676714748736,7,0.26,27,30,1380,1,2,11.368769460848384,5.0,0,0.41,0.18,18,1,0,24+ months,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False
CUST_00012,54,14,24,2,10.223439800416369,6,0.04,9,20,280,0,2,49.72450588691105,4.0,0,0.3,0.17,77,0,0,12-24 months,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False
CUST_00013,65,41,28,4,15.369837667741278,5,0.34,0,50,2050,1,1,24.467867747682483,2.0,0,0.36,0.26,19,1,0,24+ months,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False
CUST_00014,24,48,19,6,13.991212386315038,4,0.22,4,30,1440,1,1,26.91982224732825,3.0,0,0.55,0.26,-16,0,0,24+ months,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False
CUST_00015,22,2,32,7,9.025836761320804,9,0.0,5,30,60,2,2,30.95588452025188,3.0,0,0.21,0.19,55,1,0,0-6 months,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False
CUST_00016,28,14,14,2,16.185839364714774,4,0.11,20,20,280,1,0,42.7623883351522,4.0,0,0.71,0.36,-30,1,0,12-24 months,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
CUST_00017,32,4,1,7,17.421436539865446,7,-0.08,12,30,120,0,1,36.61299125758428,3.0,0,0.32,0.13,3,0,1,0-6 months,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True
CUST_00018,20,3,9,0,18.70103140272973,7,-0.03,0,70,210,1,2,41.268949169905504,3.0,0,0.61,0.47,60,2,0,0-6 months,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False
CUST_00019,22,3,21,7,20.333383249273236,7,0.0,0,30,90,0,1,40.22396316663823,4.0,0,0.89,0.41,23,2,0,0-6 months,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,True,False,True,False
CUST_00020,40,11,22,1,10.63221144303896,2,-0.11,0,10,110,0,4,15.011731251479317,3.0,1,0.21,0.2,61,2,0,6-12 months,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
